2023-11-16T13:04:09.217811 None
2023-11-16T13:04:09.731253 None
2023-11-16T13:04:10.243052 None
2023-11-16T13:04:10.751027 None
2023-11-16T13:04:11.261401 None
2023-11-16T13:04:11.774449 None
2023-11-16T13:04:12.287889 None
2023-11-16T13:04:12.799721 None
2023-11-16T13:04:13.307585 None
2023-11-16T13:04:13.817989 None
2023-11-16T13:04:14.329342 None
2023-11-16T13:04:14.843119 None
2023-11-16T13:04:15.355742 None
2023-11-16T13:04:15.863692 None
2023-11-16T13:04:16.375927 None
2023-11-16T13:04:16.891102 None
2023-11-16T13:04:17.398916 None
2023-11-16T13:04:17.909321 None
2023-11-16T13:04:18.420751 None
2023-11-16T13:04:18.934724 None
2023-11-16T13:08:42.360821 9981 1.2516631977294228
2023-11-16T13:08:42.944083 10125 1.2669136631366924
2023-11-16T13:08:43.525687 10097 1.2581633960997345
2023-11-16T13:08:44.104923 10165 1.2706637775811032
2023-11-16T13:08:44.686269 10125 1.2569133579515976
2023-11-16T13:08:45.260251 10096 1.2625385296182134
2023-11-16T13:08:45.835927 10124 1.2650386059144874
2023-11-16T13:08:46.415975 10100 1.2621635181737723
2023-11-16T13:08:47.001379 10072 1.2574133732108526
2023-11-16T13:08:47.583189 10049 1.2557883236182743
2023-11-16T13:08:48.162791 10010 1.2512881862849818
2023-11-16T13:08:48.741010 9998 1.2495381328775903
2023-11-16T13:08:49.321835 9974 1.245663014618366
2023-11-16T13:08:49.906621 9902 1.237287759025849
2023-11-16T13:08:50.487720 9911 1.239412823877682
2023-11-16T13:08:51.065496 9901 1.2369127475814081
2023-11-16T13:08:51.644621 9904 1.2380377819147312
2023-11-16T13:08:52.225494 9982 1.2517882015442365
2023-11-16T13:08:52.809672 10191 1.2739138767662588
2023-11-16T13:08:53.389205 10191 1.2739138767662588
2023-11-16T13:08:53.962507 10191 1.2739138767662588
2023-11-16T13:08:54.541155 10190 1.273788872951445
2023-11-16T13:08:55.118217 10190 1.273788872951445
2023-11-16T13:08:55.700037 10190 1.273788872951445
2023-11-16T13:08:56.279767 10190 1.2736638691366313
2023-11-16T13:08:56.856706 10190 1.273788872951445
2023-11-16T13:08:57.439523 10190 1.2736638691366313
2023-11-16T13:08:58.024046 10189 1.2735388653218178
2023-11-16T13:08:58.604784 10190 1.2736638691366313
2023-11-16T13:08:59.186538 10189 1.2736638691366313
2023-11-16T13:08:59.768605 10188 1.2735388653218178
2023-11-16T13:09:00.353131 10189 1.2736638691366313
2023-11-16T13:09:00.926136 10190 1.273788872951445
2023-11-16T13:09:01.503862 10191 1.2739138767662588
2023-11-16T13:09:02.084571 10188 1.273788872951445
2023-11-16T13:09:02.667518 10190 1.2739138767662588
2023-11-16T13:09:03.247809 10192 1.2739138767662588
2023-11-16T13:09:03.823981 10190 1.2739138767662588
2023-11-16T13:09:04.404921 10189 1.273788872951445
2023-11-16T13:09:04.988332 10193 1.2740388805810725
2023-11-16T13:09:05.568912 10193 1.274163884395886
2023-11-16T13:09:06.155769 10189 1.2732888576921904
2023-11-16T13:09:06.735018 10183 1.2730388500625631
2023-11-16T13:09:07.316901 10182 1.2729138462477492
2023-11-16T13:09:07.890575 9806 1.2257874080629902
2023-11-16T13:09:08.470023 9166 1.1201591845454268
2023-11-16T13:09:09.049026 8943 1.1176591082491532
2023-11-16T13:09:09.629730 8944 1.1171590929898982
2023-11-16T13:09:10.215582 8723 1.089908261360515
2023-11-16T13:09:10.788994 8712 1.0881582079531236
2023-11-16T13:09:11.368992 8625 1.079282937101352
2023-11-16T13:09:11.951626 8600 1.0735327616199226
2023-11-16T13:09:12.537193 8554 1.0686576128421887
2023-11-16T13:09:13.121501 8491 1.05715726187933
2023-11-16T13:09:13.696310 8431 1.053532151249733
2023-11-16T13:09:14.271627 8421 1.0522821131015963
2023-11-16T13:09:14.854636 8314 1.0405317545091097
2023-11-16T13:09:15.433030 8303 1.0372816553239539
2023-11-16T13:09:16.018527 8252 1.0312814722128971
2023-11-16T13:09:16.596170 8197 1.0234062318796349
2023-11-16T13:09:17.175383 8149 1.0181560716574602
2023-11-16T13:09:17.757742 8066 1.0112808618427076
2023-11-16T13:09:18.341580 7998 0.9994054994354076
2023-11-16T13:09:18.919688 7940 0.9945303506576739
2023-11-16T13:09:19.496658 7865 0.9701546067690054
2023-11-16T13:09:20.072958 7785 0.9729046906949065
2023-11-16T13:09:20.655183 7706 0.962779381694998
2023-11-16T13:09:21.233737 7648 0.954904141361736
2023-11-16T13:09:21.816832 7608 0.9502790002136297
2023-11-16T13:09:22.393167 7508 0.9252782372508926
2023-11-16T13:09:22.981243 7424 0.9272782982879116
2023-11-16T13:09:23.565801 7165 0.8954023255104221
2023-11-16T13:09:24.148004 7193 0.8984024170659506
2023-11-16T13:26:38.567678 16379 2.0558127384258555
2023-11-16T13:26:39.153038 16475 2.05731278420362
2023-11-16T13:26:39.740525 16340 2.0556877346110416
2023-11-16T13:26:40.320434 16348 2.0551877193517867
2023-11-16T13:26:40.900254 16505 2.0640629902035585
2023-11-16T13:26:41.482113 16412 2.048437513351848
2023-11-16T13:26:42.062055 16542 2.0639379863887446
2023-11-16T13:26:42.642678 13890 1.7329278847621081
2023-11-16T13:26:43.220580 14699 1.727052705465865
2023-11-16T13:26:43.806522 14166 1.8186805017242957
2023-11-16T13:26:44.384689 14826 1.844681295205542
2023-11-16T13:26:45.537737 15389 1.9143084200567644
2023-11-16T13:26:46.120701 15412 1.9238087099826044
2023-11-16T13:26:46.703917 15294 1.907808221686453
2023-11-16T13:26:47.290284 15373 1.9215586413159582
2023-11-16T13:26:47.866777 15261 1.8893076570940277
2023-11-16T13:26:48.447814 15267 1.9138084047975097
2023-11-16T13:26:49.032204 15323 1.9155584582049012
2023-11-16T13:26:49.617258 15280 1.9096832789086582
2023-11-16T13:26:50.197220 15168 1.8989329508346813
2023-11-16T13:26:50.805248 15111 1.8860575579088719
2023-11-16T13:26:51.390216 15018 1.885182531205176
2023-11-16T13:26:51.966839 14978 1.8723071382793663
2023-11-16T13:26:52.666640 14915 1.8620568254646443
2023-11-16T13:26:53.750385 14839 1.8626818445387128
2023-11-16T13:26:54.333808 14849 1.8524315317239908
2023-11-16T13:26:54.923231 14783 1.849181432538835
2023-11-16T13:26:55.622208 14749 1.8518065126499221
2023-11-16T13:26:56.206900 14717 1.844306283761101
2023-11-16T13:26:57.902546 14615 1.8350560014648885
2023-11-16T13:26:58.488593 14622 1.8284307992797633
2023-11-16T13:26:59.070936 14619 1.8240556657612843
2023-11-16T13:26:59.656428 14546 1.8255557115390486
2023-11-16T13:27:00.240809 14541 1.815805413983581
2023-11-16T13:27:00.821361 14537 1.8114302804651021
2023-11-16T13:27:01.408369 14454 1.8045550706503495
2023-11-16T13:27:01.985306 14450 1.8041800592059083
2023-11-16T13:27:02.578891 14374 1.7935547349467453
2023-11-16T13:27:03.154569 14390 1.79642982268746
2023-11-16T13:27:03.732752 14376 1.790929654835658
